house_id,rooms,bathrooms,area_m2,description,image_url,location_id,seller_id
1,6.0,8.0,150.0,"VILLA R+2 , titre foncier à vendre , Ouakam cité avion. RDC: garage, appartement de 2 chambres salon dont une chambre parents avec SDB, une chambre enfants, un salon salle à manger , une cuisine , une cour, deux salles d'eau. 1ER: 1 Salon, 2 CHAMBRES avec SDB, 1 CHAMBRE et deux salles d'eau 2E: 1 case, 1 chambre, 1 cuisine, 1 toilette, 1 terrasse non couverte.",,1,1
2,7.0,2.0,150.0,"Vends Villa R+1 angle située à la cité assurance à Keur Mbaye Fall TF global composé de 4 chambres , 2 magasins , espace familial toilette publique au rdc et à l'étage 3 chambres 1 salon ,sdb , toilette publique cuisine .",,2,2
3,13.0,3.0,180.0,VendsR+1 Angle située à Keur Massar prés de la Mairie et plus précisément à 20 m de la route principale. composé de 4 appartements dont 1 avec 3 chambres salon et les 3 autres avec 2 chambres salon 3 sd b 4 toilettes publiques .dimension 180m² . très intéressant pour les investisseurs dans l'immobilier .Papiers mairie . photos disponibles watsapp,,3,2
4,,,400.0,"Une villa à rénover à vendre à Mbodiéne non loin de la plage. La villa est composée de 3 chambres , salle de bain, une grande cuisine, un salon, balcon pour avoir une belle vue sur mer, Eau et Électricité sont déjà installés, quelques arbres fruitiers,... Surface du terrain : 400m2 Type de papier : Acte administratif Prix : 25.000.000f CFA",,4,3
5,4.0,2.0,120.0,Vends une trés belle villa r+1 situé à Niacoulrab . Composée de 2 chambres salon toilette sdb espace familial.A l'étage 2 chambres salon toilette une très grande cuisine à la terrasse espace familial. papiers déliberation,,5,2
6,,,1.2,"Un magnifique immeuble pied dans l’eau à vendre à Mbodiéne plage . L’ensemble immobilier est érigé sur un terrain de 1 200 m² environ en bordure de lagune et face à l’océan. Il est composé de Quatre (04) appartements comprenant 01 Salon, 01 Séjour, 01 Cuisine ouverte, 01 Buanderie-cellier, 01 Salle de bain, 01 WC séparé, 02 Chambres avec douches, une terrasse au rez-balcon à l’étage. L’agencement est le même pour les Quatre (04) appartements. Un (01) logement du gardien. Type de papier du terrain : Acte administratif Prix : 262.622.360f Cfa",,4,3
7,8.0,2.0,150.0,"Vends belle villa r+1 angle située à Keur Massar prés de la pharmacie Camille Basse à 150 m des 2 voies .composée au rdc de 4 chambres , 1 magasin , 1 garage sdb, patio .A l'étage nous avons 4 chambres salon .sdb , cuisine toilettes publique .Papiers TF global",,3,2
8,4.0,2.0,150.0,Vends villa terrasse située à Keur Massar Ainoumady extension à 100 m de la route principale composée de 4 chambres 1 salon 2 sdb petite cour toilette publique cuisine .Papiers bail global,,3,2
9,2.0,2.0,540.0,"A NDANGANE dans le sine Saloum sur une parcelle de 540m2 Villa environ 100 m2 habitable, meublée 2 grandes chambres avec salle d'eau et WC chacune Cuisine équipée Entièrement clôturée Puit et Réserve d'eau Abri auto de 24 m2 Atelier de 6m2",,6,4
10,3.0,2.0,680.0,"A NDANGANE dans le Sine Saloum, Sur une parcelle de 680 m2, villa environ 100 m2 habitable 3 chambres, 2 salles de bains avec WC entièrement clôturée Puit et Réserve d'eau piscine à filtration solaire, abri auto de 38 m2 et atelier de 9 m2",,6,4
11,4.0,1.0,700.0,Villa bien faite avec piscine composée de 4 chambres plus salon a Saly joseph.,,7,5
12,7.0,2.0,703.0,"Bonjour La Société Immosen vous propose une maison à vendre de 703 m2 avec accès terrasse sis à Sébikotane. Elle est composée de 7 chambres, 1 salon, 2 toilettes intérieures, 1cuisine avec espace de rangement, 1 grand espace familial, 2 toilettes visiteur, et une cour latérale indépendante.",,8,6
13,4.0,4.0,175.0,"A vendre à Almadies II (Rufisque - Dakar), dans une RÉSIDENCE MODERNE, SECURISEE et déjà HABITEE",,9,7
14,4.0,,572.0,"⭐ Visite virtuelle disponible sur demande⭐ Nous vous proposons à la vente sur l'île de Ngor. Vous trouverez sur un terrain de 572 m2 une villa de 4 chambres salon en R+1. Situé sur la magnifique ilede Ngor ,vous bénéficierez d'un environnement incroyable. Offrez-vous une part de rêve et de quiétude en venant contempler l'océan sur les différentes terrasses.",,10,8
15,2.0,1.0,150.0,"Pour les villas F3  sont deux chambres , 1 salle de bain , salon ,cuisine garage cour devant cour arrière espace familiale  sur 150 m2 située à la cité CDC BAMBILOR.",,11,9
16,4.0,1.0,150.0,"Vous avez encore certainement rêvé immobilier. À votre réveil;dites seulement : ""PROBAT"". Voici un bailleur vient de nous confier à vendre à petit mbao une villa(bail) de 3ch-sal-cuis-sdb-toil vis-esp fam-cour avant +2patios d'aération. Villa terminée à 98%(juste le carrelage ou la peinture qui reste) à un prix dérisoire. Bâtiment bien solide. Très facile d'accès. NB: Valoriser vos biens immobiliers,notre seul raison d'exister.",,2,10
17,7.0,6.0,,vendre R+1 composé de 7 chambres 2 salons 4 sdb et 2 toilettes extérieur 1 magasin avec toilette Zac mbao cité impôt et domaine derrière brioche dorée,,12,11
18,6.0,5.0,203.0,"Maison R+2 à Nord Foire, titre foncier, 6 chambres. 5 salles de bain, 2 salons, 2 cuisines, 2 cours avant et arrière.",,13,12
