"id_rgpd","region","departement","arrondissement","commune","quartier","village","concession","menage","nombre_hommes","nombre_femmes","population"
"1","DAKAR","DAKAR","AR. DAKAR-PLATEAU","GOREE",NULL,NULL,NULL,NULL,842,849,1691
"2","DAKAR","DAKAR","AR. DAKAR-PLATEAU","DAKAR-PLATEAU",NULL,NULL,NULL,NULL,18508,16443,34951
"3","DAKAR","DAKAR","AR. DAKAR-PLATEAU","MEDINA",NULL,NULL,NULL,NULL,43893,38651,82544
"4","DAKAR","DAKAR","AR. DAKAR-PLATEAU","GUEULE TAPEE -FASS-COLOBANE",NULL,NULL,NULL,NULL,31562,27665,59227
"5","DAKAR","DAKAR","AR. DAKAR-PLATEAU","FANN/POINT E/ AMITIE",NULL,NULL,NULL,NULL,10756,9359,20115
"6","DAKAR","DAKAR","AR. GRAND-DAKAR","GRAND DAKAR",NULL,NULL,NULL,NULL,24488,22846,47334
"7","DAKAR","DAKAR","AR. GRAND-DAKAR","BISCUITERIE",NULL,NULL,NULL,NULL,39203,34822,74025
"8","DAKAR","DAKAR","AR. GRAND-DAKAR","HLM",NULL,NULL,NULL,NULL,20908,22067,42975
"9","DAKAR","DAKAR","AR. GRAND-DAKAR","HANN/ BEL AIR",NULL,NULL,NULL,NULL,43776,43132,86908
"10","DAKAR","DAKAR","AR. GRAND-DAKAR","SICAP LIBERTE",NULL,NULL,NULL,NULL,19387,21692,41079
"11","DAKAR","DAKAR","AR. GRAND-DAKAR","DIEUPPEUL DERKLE",NULL,NULL,NULL,NULL,18554,20171,38725
"12","DAKAR","DAKAR","AR. ALMADIES","OUAKAM",NULL,NULL,NULL,NULL,49116,51425,100541
"13","DAKAR","DAKAR","AR. ALMADIES","N’GOR",NULL,NULL,NULL,NULL,8927,8779,17706
"14","DAKAR","DAKAR","AR. ALMADIES","YOFF",NULL,NULL,NULL,NULL,57414,61937,119351
"15","DAKAR","DAKAR","AR. ALMADIES","MERMOZ/ SACRE -COEUR",NULL,NULL,NULL,NULL,17975,20623,38598
"16","DAKAR","DAKAR","AR. PARCELLES ASSAINIES","GRAND YOFF",NULL,NULL,NULL,NULL,91693,95082,186775
"17","DAKAR","DAKAR","AR. PARCELLES ASSAINIES","PATTE D’OIE",NULL,NULL,NULL,NULL,22500,24321,46821
"18","DAKAR","DAKAR","AR. PARCELLES ASSAINIES","PARCELLES ASSAINIES",NULL,NULL,NULL,NULL,83275,84396,167671
"19","DAKAR","DAKAR","AR. PARCELLES ASSAINIES","CAMBERENE",NULL,NULL,NULL,NULL,36338,35094,71432
"20","DAKAR","PIKINE","AR. PIKINE DAGOUDANE","PIKINE OUEST",NULL,NULL,NULL,NULL,29024,28216,57240
"21","DAKAR","PIKINE","AR. PIKINE DAGOUDANE","PIKINE EST",NULL,NULL,NULL,NULL,16932,15785,32717
"22","DAKAR","PIKINE","AR. PIKINE DAGOUDANE","PIKINE SUD",NULL,NULL,NULL,NULL,25038,24050,49088
"23","DAKAR","PIKINE","AR. PIKINE DAGOUDANE","DALIFORD",NULL,NULL,NULL,NULL,20051,19045,39096
